"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependants","own_telephone","foreign_worker","class"
"no checking",18,"existing paid","furniture/equipment",1533,"low savings","less than 1 year",4,"male mar/wid","co applicant",1,"life insurance",43,"stores","own",1,"unskilled resident",2,"none","yes","bad"
"overdrawn",21.31016921,"existing paid","radio/tv",1833.759323,"low savings","1-3 years",3.103389737,"female div/dep/mar","none",2,"no known property",25.51694869,"stores","own",1.896610263,"high qualif/self emp/mgmt",1.103389737,"none","yes","bad"
"adequate balance",24,"critical/order existing credit","new car",1344,"no known savings","4-6 years",4,"male single","none",2,"real estate",37,"bank","own",2,"unskilled resident",2,"none","yes","bad"
"overdrawn",7.281072791,"existing paid","education",446.398659,"low savings","less than 1 year",3.893243934,"female div/dep/mar","guarantor",4,"life insurance",22.89324393,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",29.43889016,"existing paid","repairs",4156.964362,"low savings","4-6 years",3.453240847,"male div/sep","none",3.093518306,"car",27.09351831,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",12,"existing paid","other",892.9030555,"low savings","less than 1 year",4,"male mar/wid","none",4,"car",33.99563507,"bank","own",1,"unemp/unskilled non res",1.649781753,"none","yes","bad"
"low balance",12,"existing paid","radio/tv",1484,"no known savings","1-3 years",2,"male mar/wid","none",1,"real estate",25,"stores","own",1,"skilled",1,"yes","yes","bad"
"overdrawn",15.70952331,"existing paid","new car",1220.580953,"low savings","4-6 years",4,"female div/dep/mar","none",2.618253884,"life insurance",23.38174612,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",35.74942021,"delayed previously","domestic appliance",5210.922106,"low savings","less than 1 year",2,"male div/sep","none",3.583360942,"car",41.66721885,"stores","own",1.583360942,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",18,"delayed previously","business",2169,"low savings","1-3 years",4,"male mar/wid","none",2,"car",28,"stores","own",1,"skilled",1,"yes","yes","bad"
"overdrawn",24,"existing paid","new car",1285,"no known savings","4-6 years",4,"female div/dep/mar","none",4,"no known property",32,"stores","rent",1,"skilled",1,"none","yes","bad"
"low balance",27,"existing paid","business",3915,"low savings","1-3 years",4,"male single","none",2,"car",36,"stores","own",1,"skilled",2,"yes","yes","bad"
"overdrawn",42.72308849,"existing paid","other",1844.241029,"low savings","1-3 years",4,"male mar/wid","none",4,"life insurance",25.78289185,"stores","for free",1,"skilled",1,"yes","yes","bad"
"adequate balance",11.98749413,"existing paid","education",719.1083842,"low savings","less than 1 year",3.995831375,"male mar/wid","none",3.99166275,"car",40.94580788,"bank","own",1,"unskilled resident",1.995831375,"none","yes","bad"
"low balance",9,"existing paid","radio/tv",1670,"low savings","less than 1 year",4,"female div/dep/mar","none",2,"car",22,"stores","own",1,"skilled",1,"yes","yes","bad"
"no checking",30.56935568,"delayed previously","furniture/equipment",4520.926873,"low savings","1-3 years",3.094892614,"male single","none",2.452553693,"car",38.67150341,"stores","own",2.452553693,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",21,"no credits/all paid","new car",5003,"no known savings","1-3 years",1,"female div/dep/mar","none",4,"life insurance",29,"bank","own",2,"skilled",1,"yes","yes","bad"
"adequate balance",16.01940292,"critical/order existing credit","domestic appliance",2162.39801,"low savings","1-3 years",4,"male div/sep","none",1.669900487,"car",28.33009951,"stores","for free",1,"skilled",1,"none","yes","bad"
"overdrawn",27,"no credits/all paid","business",5293,"low savings","unemployed",2,"male single","none",4,"life insurance",50,"unknown","own",2,"skilled",1,"yes","yes","bad"
"low balance",24,"existing paid","radio/tv",3092,"low savings","less than 1 year",3,"male mar/wid","none",2,"car",22,"stores","rent",1,"skilled",1,"yes","yes","bad"
"low balance",18,"existing paid","new car",1042,"no known savings","1-3 years",4,"female div/dep/mar","none",2,"life insurance",33,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",48,"critical/order existing credit","used car",6331,"low savings","7 or more years",4,"male single","none",4,"no known property",46,"stores","for free",2,"skilled",1,"yes","yes","bad"
"overdrawn",16.59827902,"all paid","furniture/equipment",1195.056034,"low savings","7 or more years",2.233620163,"female div/dep/mar","co applicant",4,"no known property",31.46724033,"stores","own",1.588793279,"skilled",1,"none","yes","bad"
"overdrawn",14.16207057,"existing paid","new car",1223.675859,"low savings","1-3 years",4,"female div/dep/mar","none",2.360345095,"life insurance",23.6396549,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"low balance",12,"delayed previously","new car",833.0609966,"low savings","less than 1 year",4,"female div/dep/mar","none",2.07535906,"life insurance",23.7535906,"bank","own",1,"unskilled resident",1.07535906,"none","yes","bad"
"overdrawn",40,"critical/order existing credit","education",5998,"low savings","1-3 years",4,"male single","none",3,"no known property",27,"bank","own",1,"skilled",1,"yes","yes","bad"
"low balance",30,"delayed previously","radio/tv",1919,"low savings","less than 1 year",4,"male single","none",3,"no known property",30,"unknown","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",25.86847986,"existing paid","furniture/equipment",2373.636426,"low savings","7 or more years",1.934239928,"female div/dep/mar","none",1.934239928,"life insurance",29.88586691,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",24,"existing paid","new car",2303,"low savings","7 or more years",4,"male single","co applicant",1,"real estate",45,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",12,"all paid","new car",697,"low savings","less than 1 year",4,"male single","none",2,"car",46,"bank","own",2,"skilled",1,"yes","yes","bad"
"low balance",12,"existing paid","new car",836,"low savings","less than 1 year",4,"female div/dep/mar","none",2,"life insurance",23,"bank","own",1,"unskilled resident",1,"none","yes","bad"
"adequate balance",18.39778796,"existing paid","business",4165.99447,"low savings","1-3 years",2.044198662,"male single","none",2,"car",35.77900669,"stores","own",1.977900669,"skilled",1.977900669,"none","yes","bad"
"low balance",12,"existing paid","new car",1295,"low savings","less than 1 year",3,"female div/dep/mar","none",1,"car",25,"stores","rent",1,"skilled",1,"none","yes","bad"
"adequate balance",13.07045194,"existing paid","new car",1385.553978,"low savings","1-3 years",2.178408657,"female div/dep/mar","none",2,"life insurance",26.80283896,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",12,"all paid","new car",622.3836258,"low savings","1-3 years",4,"female div/dep/mar","none",3.361816315,"real estate",24.42545579,"bank","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"overdrawn",42,"existing paid","radio/tv",7174,"no known savings","4-6 years",4,"female div/dep/mar","none",3,"car",30,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"adequate balance",31.8820975,"existing paid","new car",6759.61179,"high savings","1-3 years",2.462736583,"male div/sep","none",3.074526833,"car",50.87874642,"stores","own",1.537263417,"skilled",1,"none","yes","bad"
"low balance",48,"existing paid","radio/tv",3060,"low savings","4-6 years",4,"male single","none",4,"real estate",28,"stores","own",2,"skilled",1,"none","yes","bad"
"overdrawn",36,"existing paid","radio/tv",2302,"low savings","1-3 years",4,"male div/sep","none",4,"car",31,"stores","rent",1,"skilled",1,"none","yes","bad"
"low balance",24,"existing paid","radio/tv",3092,"low savings","less than 1 year",3,"male mar/wid","none",2,"car",22,"stores","rent",1,"skilled",1,"yes","yes","bad"
"low balance",24,"delayed previously","furniture/equipment",2064,"low savings","unemployed",3,"female div/dep/mar","none",2,"life insurance",34,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"low balance",36.153834,"critical/order existing credit","furniture/equipment",5186.820606,"low savings","less than 1 year",3.316240667,"male div/sep","none",2.341879667,"car",28.68375933,"stores","own",1.658120333,"high qualif/self emp/mgmt",1,"none","yes","bad"
"overdrawn",15,"no credits/all paid","new car",950,"low savings","7 or more years",4,"male single","none",3,"car",33,"stores","rent",2,"skilled",2,"none","yes","bad"
"overdrawn",12,"critical/order existing credit","new car",3499,"low savings","1-3 years",3,"female div/dep/mar","co applicant",2,"real estate",29,"stores","own",2,"skilled",1,"none","yes","bad"
"overdrawn",8.480787392,"critical/order existing credit","other",3384.826929,"low savings","4-6 years",1.826929131,"male div/sep","none",4,"no known property",40.27881891,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",24,"delayed previously","new car",1333,"low savings","unemployed",4,"male single","none",2,"real estate",43,"stores","for free",2,"skilled",2,"none","yes","bad"
"low balance",12.67330075,"existing paid","new car",1294.438916,"low savings","4-6 years",3.056108395,"female div/dep/mar","none",1.168325186,"car",25.39275877,"stores","rent",1,"skilled",1,"none","yes","bad"
"overdrawn",19.29705419,"critical/order existing credit","other",3363.50075,"low savings","less than 1 year",3.60808785,"male single","none",4,"no known property",31.95956075,"stores","for free",1,"skilled",1.60808785,"yes","yes","bad"
"overdrawn",32.94707664,"existing paid","new car",1840.575302,"low savings","4-6 years",3.796471776,"female div/dep/mar","none",3.592943551,"car",32.16824598,"stores","own",1.203528224,"skilled",1,"yes","yes","bad"
"overdrawn",26.13594891,"existing paid","new car",2427.252281,"low savings","4-6 years",4,"female div/dep/mar","none",4,"real estate",30.72810219,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",21.34588662,"critical/order existing credit","other",1216,"low savings","less than 1 year",4,"male div/sep","none",3.55764777,"life insurance",31.36471655,"bank","own",1.55764777,"skilled",1.55764777,"none","yes","bad"
"no checking",18,"all paid","new car",6458,"low savings","7 or more years",2,"male single","none",4,"no known property",39,"bank","own",2,"high qualif/self emp/mgmt",2,"yes","yes","bad"
"overdrawn",36,"delayed previously","business",2145,"low savings","4-6 years",2,"male single","none",1,"car",24,"stores","own",2,"skilled",1,"yes","yes","bad"
"low balance",36,"existing paid","repairs",2384,"low savings","less than 1 year",4,"male single","none",1,"no known property",33,"stores","rent",1,"unskilled resident",1,"none","yes","bad"
"adequate balance",31.8820975,"existing paid","new car",6759.61179,"high savings","1-3 years",2.462736583,"male div/sep","none",3.074526833,"car",50.87874642,"stores","own",1.537263417,"skilled",1,"none","yes","bad"
"overdrawn",18,"existing paid","furniture/equipment",4153,"low savings","1-3 years",2,"male single","co applicant",3,"car",42,"stores","own",1,"skilled",1,"none","yes","bad"
"overdrawn",22.04356649,"delayed previously","new car",4821.238939,"low savings","4-6 years",2.163036126,"male single","co applicant",3.163036126,"life insurance",32.95643351,"stores","own",1.163036126,"skilled",1,"yes","yes","bad"
"overdrawn",20.03581822,"existing paid","new car",1281.366167,"high savings","4-6 years",3.669651519,"female div/dep/mar","none",3.008954556,"no known property",33.65174241,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",24,"all paid","domestic appliance",3143.838033,"low savings","1-3 years",3.751275846,"male mar/wid","none",2,"car",28.76148261,"stores","rent",1,"skilled",1,"yes","yes","bad"
"low balance",19.10748703,"critical/order existing credit","furniture/equipment",4292.570052,"low savings","7 or more years",4,"male div/sep","none",2.907709414,"life insurance",38.89251297,"stores","own",1.092290586,"high qualif/self emp/mgmt",1,"none","yes","bad"
"low balance",13.10818734,"all paid","new car",1438.369396,"low savings","4-6 years",2.547758312,"male mar/wid","none",3.273879156,"life insurance",27.35672506,"stores","own",1.273879156,"skilled",1,"none","yes","bad"
"overdrawn",12.89673457,"existing paid","other",6192.562727,"low savings","1-3 years",4,"male single","none",2.032026235,"life insurance",27.96797377,"bank","own",1.967973765,"skilled",1,"yes","yes","bad"
"overdrawn",9,"existing paid","new car",654,"low savings","1-3 years",4,"male single","none",3,"car",28,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"low balance",36,"existing paid","business",1958.679254,"low savings","7 or more years",4,"male single","none",4,"no known property",56.03065288,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",24,"all paid","new car",1355.282108,"no known savings","less than 1 year",4,"male single","none",2.805864887,"car",39.41759466,"stores","own",1.194135113,"high qualif/self emp/mgmt",1.194135113,"none","yes","bad"
"low balance",27,"critical/order existing credit","radio/tv",2520,"low savings","1-3 years",4,"male single","none",2,"life insurance",23,"stores","own",2,"unskilled resident",1,"none","yes","bad"
"low balance",24,"delayed previously","furniture/equipment",2057.477659,"low savings","7 or more years",2.478212753,"female div/dep/mar","none",1.739106377,"life insurance",30.86927652,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",42,"existing paid","radio/tv",7174,"no known savings","4-6 years",4,"female div/dep/mar","none",3,"car",30,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",48,"existing paid","new car",7763,"low savings","7 or more years",4,"male single","none",4,"no known property",42,"bank","for free",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"low balance",15,"all paid","new car",1264,"low savings","1-3 years",2,"male mar/wid","none",2,"life insurance",25,"stores","rent",1,"skilled",1,"none","yes","bad"
